,id,title,views,evaluation,evaluation_tmdb,release_date,genre_ids,diff
193,10200,The Day the Earth Stood Still,1,6.5,5.5,2008-12-10,"[18, 878, 53]",1.0
194,429197,Vice,1,7.9,7.1,2018-12-25,"[18, 36, 35]",0.8000000000000007
195,4695,Pappa ante Portas,1,9.5,7.6,1991-02-21,[35],1.9000000000000004
196,375262,The Favourite,1,7.1,7.6,2018-11-23,"[18, 36, 35]",-0.5
197,228066,Victor Frankenstein,1,6.1,5.8,2015-11-10,"[18, 878, 53]",0.2999999999999998
198,109428,Evil Dead,1,7.5,6.4,2013-04-05,[27],1.0999999999999996
199,371638,The Disaster Artist,1,9.2,7.2,2017-03-12,"[35, 18]",1.9999999999999991
200,1422,The Departed,1,8.3,8.2,2006-10-05,"[18, 53, 80]",0.10000000000000142
201,535581,The Dead Don't Die,1,6.7,5.5,2019-05-15,"[35, 27, 14]",1.2000000000000002
202,10238,Cries and Whispers,1,7.3,8.0,1972-12-21,[18],-0.7000000000000002
203,89494,Vladimir and Rosa,1,6.1,7.0,1971-04-16,[18],-0.9000000000000004
204,2649,The Game,1,9.0,7.6,1997-09-12,"[18, 53, 9648]",1.4000000000000004
205,353491,The Dark Tower,1,5.4,5.7,2017-08-03,"[28, 14, 878, 12]",-0.2999999999999998
206,144651,Ghosts Before Breakfast,1,6.6,6.9,1928-07-14,[],-0.3000000000000007
207,22970,The Cabin in the Woods,1,7.1,6.5,2012-04-12,"[27, 35, 14, 53]",0.5999999999999996
208,132363,The Butler,1,8.3,7.4,2013-08-16,[18],0.9000000000000004
209,2108,The Breakfast Club,1,6.5,7.8,1985-02-15,"[35, 18]",-1.2999999999999998
210,399019,The Beguiled,1,6.5,5.8,2017-06-23,[18],0.7000000000000002
211,537996,The Ballad of Buster Scruggs,1,7.0,7.2,2018-11-09,"[35, 18, 37]",-0.20000000000000018
212,103,Taxi Driver,1,8.9,8.2,1976-02-09,"[80, 18]",0.7000000000000011
213,765,Evil Dead II,1,8.1,7.6,1987-03-13,"[27, 35, 14]",0.5
214,1381,The Fountain,1,7.6,6.9,2006-09-06,"[18, 12, 878, 10749]",0.6999999999999993
